A_0	a_m a_m
GA_4	g a_h a_l
GAI_0	g a_m eh_m
GAI_1	g a_h eh_h
GAI_2	g a_l eh_h
GAI_3	g a_l eh_l
GAI_4	g a_h eh_l
GAN_0	g a_m nn_m
GAN_1	g a_h nn_h
GAN_2	g a_l nn_h
GAN_3	g a_l nn_l
GAN_4	g a_h nn_l
GANG_0	g aa_m ng_m
GANG_1	g aa_h ng_h
GANG_2	g aa_l ng_h
GANG_3	g aa_l ng_l
GANG_4	g aa_h ng_l
GAO_0	g aa_m o_m
GAO_1	g aa_h o_h
GAO_2	g aa_l o_h
GAO_3	g aa_l o_l
GAO_4	g aa_h o_l
GE_0	g el_m el_m
GE_1	g el_h el_h
GE_2	g el_l el_h
GE_3	g el_l el_l
GE_4	g el_h el_l
GEI_0	g eh_m i_m
GEI_1	g eh_h i_h
GEI_2	g eh_l i_h
GEI_3	g eh_l i_l
GEI_4	g eh_h i_l
GEN_0	g el_m nn_m
GEN_1	g el_h nn_h
GEN_2	g el_l nn_h
GEN_3	g el_l nn_l
GEN_4	g el_h nn_l
GENG_0	g el_m ng_m
GENG_1	g el_h ng_h
GENG_2	g el_l ng_h
GENG_3	g el_l ng_l
GENG_4	g el_h ng_l
GONG_0	gu u_m ng_m
GONG_1	gu u_h ng_h
GONG_2	gu u_l ng_h
GONG_3	gu u_l ng_l
GONG_4	gu u_h ng_l
GOU_0	g o_m u_m
GOU_1	g o_h u_h
GOU_2	g o_l u_h
GOU_3	g o_l u_l
GOU_4	g o_h u_l
GU_0	gu u_m u_m
GU_1	gu u_h u_h
GU_2	gu u_l u_h
GU_3	gu u_l u_l
GU_4	gu u_h u_l
GUA_0	gu a_m a_m
GUA_1	gu a_h a_h
GUA_2	gu a_l a_h
GUA_3	gu a_l a_l
GUA_4	gu a_h a_l
GUAI_0	gu a_m eh_m
GUAI_1	gu a_h eh_h
GUAI_2	gu a_l eh_h
GUAI_3	gu a_l eh_l
GUAI_4	gu a_h eh_l
GUAN_0	gu a_m nn_m
GUAN_1	gu a_h nn_h
GUAN_2	gu a_l nn_h
GUAN_3	gu a_l nn_l
GUAN_4	gu a_h nn_l
GUANG_0	gu aa_m ng_m
GUANG_1	gu aa_h ng_h
GUANG_2	gu aa_l ng_h
GUANG_3	gu aa_l ng_l
GUANG_4	gu aa_h ng_l
GUI_0	gu eh_m i_m
GUI_1	gu eh_h i_h
GUI_2	gu eh_l i_h
GUI_3	gu eh_l i_l
GUI_4	gu eh_h i_l
GUN_0	gu el_m nn_m
GUN_1	gu el_h nn_h
GUN_2	gu el_l nn_h
GUN_3	gu el_l nn_l
GUN_4	gu el_h nn_l
GUO_0	gu o_m o_m
GUO_1	gu o_h o_h
GUO_2	gu o_l o_h
GUO_3	gu o_l o_l
GUO_4	gu o_h o_l
HA_0	h a_m a_m
HA_1	h a_h a_h
HA_2	h a_l a_h
HA_3	h a_l a_l
HA_4	h a_h a_l
HAI_0	h a_m eh_m
HAI_1	h a_h eh_h
HAI_2	h a_l eh_h
HAI_3	h a_l eh_l
HAI_4	h a_h eh_l
HAN_0	h a_m nn_m
HAN_1	h a_h nn_h
HAN_2	h a_l nn_h
HAN_3	h a_l nn_l
HAN_4	h a_h nn_l
HANG_0	h aa_m ng_m
HANG_1	h aa_h ng_h
HANG_2	h aa_l ng_h
HANG_3	h aa_l ng_l
HANG_4	h aa_h ng_l
HAO_0	h aa_m o_m
HAO_1	h aa_h o_h
HAO_2	h aa_l o_h
HAO_3	h aa_l o_l
HAO_4	h aa_h o_l
HE_0	h el_m el_m
HE_1	h el_h el_h
HE_2	h el_l el_h
HE_3	h el_l el_l
HE_4	h el_h el_l
HEI_0	h eh_m i_m
HEI_1	h eh_h i_h
HEI_2	h eh_l i_h
HEI_3	h eh_l i_l
HEI_4	h eh_h i_l
HEN_0	h el_m nn_m
HEN_1	h el_h nn_h
HEN_2	h el_l nn_h
HEN_3	h el_l nn_l
HEN_4	h el_h nn_l
HENG_0	h el_m ng_m
HENG_1	h el_h ng_h
HENG_2	h el_l ng_h
