凨	FENG_1
凫	FU_2
凬	FENG_1
凭	PING_2
凮	FENG_1
凯	KAI_3
凰	HUANG_2
凲	GAN_1
凳	DENG_4
凴	PING_2
凵	KAN_3;QIAN_3;SHAN_1
凶	XIONG_1
凷	KUAI_4
凸	TU_1
凹	AO_1;WA_1
出	CHU_1;CHU_0
击	JI_1
凼	DANG_4
函	HAN_2
凾	HAN_2
凿	ZAO_2;ZUO_4
刀	DAO_1
刁	DIAO_1
刂	CE_4;DAO_1;LI_4
刃	REN_4
刄	REN_4
刅	CHUANG_1
分	FEN_1;FEN_4;FEN_0
切	QIE_1;QIE_4
刈	YI_4
刉	JI_1
刊	KAN_1
刋	QIAN_4
刌	CUN_3
刍	CHU_2
刎	WEN_3
刏	JI_1
刐	DAN_3
刑	XING_2
划	HUA_4;HUA_2;HUA_0;HUAI_0
刓	WAN_2
刔	JUE_2
刕	LI_2
刖	YUE_4
列	LIE_4
刘	LIU_2
则	ZE_2
刚	GANG_1
创	CHUANG_1;CHUANG_4
刜	FU_2
初	CHU_1
刞	QU_4
刟	DIAO_1
删	SHAN_1
刡	MIN_3
刢	LING_2
刣	ZHONG_1
判	PAN_4
刦	JIE_2
刧	JIE_2
刨	BAO_4;PAO_2
利	LI_4;LI_0
别	BIE_4;BIE_2;BIE_0
刬	CHAN_4;CHAN_3
刭	JING_3
刮	GUA_1
刯	GENG_1
到	DAO_4
刱	CHUANG_4
刲	KUI_1
刳	KU_1
刴	DUO_4
刵	ER_4
制	ZHI_4
刷	SHUA_1;SHUA_4
券	QUAN_4;XUAN_4
刹	CHA_4;SHA_1
刺	CI_1;CI_4
刻	KE_4
刼	JIE_2
刽	GUI_4;KUAI_4
刾	CI_4
刿	GUI_4
剀	KAI_3
剁	DUO_4
剂	JI_4
剃	TI_4
剅	DOU_1
剆	LUO_3
剈	YUAN_1
削	XIAO_1;XUE_1
剋	KEI_1;KE_4
剌	LA_4;LA_2
前	QIAN_2
剏	CHUANG_4
剐	GUA_3
剑	JIAN_4
剒	CUO_4
剓	LI_2
剔	TI_1;TI_4
剕	FEI_4
剖	PAO_1;POU_1
剗	CHAN_4;CHAN_3
剘	QI_2
剙	CHUANG_4
剚	ZI_4
剜	WAN_1
剞	JI_1
剟	DUO_1
剠	QING_2
剡	SHAN_4;YAN_3
剢	ZHUO_2
剣	JIAN_4
剤	JI_4
剥	BAO_1;BO_1;PU_1
剧	JU_4
剨	HUO_1
剩	SHENG_4
剪	JIAN_3
剫	DUO_2
剬	ZHI_4
剭	WU_1
副	FU_4
剰	SHENG_4
剱	JIAN_4
割	GE_1
剳	ZHA_2
剶	CHUAN_1
剸	TUAN_2;ZHUAN_1
剹	LU_4
剺	LI_2
剻	PENG_3
剼	SHAN_1
剽	PIAO_1
剾	KOU_1
剿	CHAO_1;JIAO_3
劀	GUA_1
劁	QIAO_1
劂	JUE_2
劅	ZHUO_2
劆	LIAN_2
劈	PI_1;PI_3
劋	JIAO_3
劎	JIAN_4
劏	TONG_1
劐	HUO_1
劒	JIAN_4
劓	YI_4
劔	JIAN_4
劕	ZHI_4
劖	CHAN_2
劗	ZUAN_1
劘	MO_2
劙	LI_2
劚	ZHU_2
力	LI_4
劜	YA_4
劝	QUAN_4
办	BAN_4
功	GONG_1
加	JIA_1
务	WU_4;WU_0
劢	MAI_4
劣	LIE_4
劤	JING_4
劥	KENG_1
劦	XIE_2
劧	ZHI_3
动	DONG_4
助	ZHU_4
努	NU_3
劫	JIE_2
劬	QU_2
劭	SHAO_4
劮	YI_4
劯	ZHU_1
劰	MO_4
励	LI_4
劲	JING_4;JIN_4
劳	LAO_2
労	LAO_2
劵	JUAN_4
劶	KOU_3
劷	YANG_2
劸	WA_1
効	XIAO_4
劺	MOU_2
劼	JIE_2
劽	LIE_4
劾	HE_2
势	SHI_4;SHI_0
勀	KE_4
勂	GAO_4
勃	BO_2
勄	MIN_3
勅	CHI_4
勆	LANG_2
勇	YONG_3
勈	YONG_3
勉	MIAN_3
勊	KE_4
勋	XUN_1
勌	JUAN_4
勍	QING_2
勎	LU_4
勏	BU_4
勐	MENG_3
勑	CHI_4;LAI_4
勒	LEI_1;LE_4
勓	KAI_4
勔	MIAN_3
勖	XU_4
勘	KAN_1
勚	YI_4
勜	YANG_3
募	MU_4
勠	LU_4
勡	PIAO_4
勣	JI_4
勤	QIN_2
勥	QIANG_3
勧	QUAN_4
勨	XIANG_4
勩	YI_4
勪	QIAO_1
勫	FAN_1
勬	JUAN_1
勭	TONG_2
勮	JU_4
勯	DAN_1
勰	XIE_2
勲	XUN_1
勴	LV_4
勶	CHE_4
勷	XIANG_1
勹	BAO_1
勺	SHAO_2
勼	JIU_1
勽	BAO_4
勾	GOU_1;GOU_4
勿	WU_4
匀	YUN_2
匂	XIONG_1
匃	GAI_4
匄	GAI_4
包	BAO_1
匆	CONG_1
匈	XIONG_1
匉	PENG_1
匊	JU_1
匋	YAO_2
匌	GE_2
匍	PU_2
匎	E_4
匏	PAO_2
匐	FU_2
匑	GONG_1
匒	DA_2
匓	JIU_4
匔	GONG_1
匕	BI_3
化	HUA_1;HUA_4
北	BEI_3
匘	NAO_3
匙	CHI_2;SHI_2;SHI_0
匚	FANG_1;QU_1
匛	JIU_4
匜	YI_2
匝	ZA_1
匞	JIANG_4
匠	JIANG_4;JIANG_0
匡	KUANG_1
匢	HU_1
匣	XIA_2
匤	QU_1
匥	FAN_2
匦	GUI_3
匧	QIE_4
匨	ZANG_1
匩	KUANG_1
匪	FEI_3
匫	HU_1
匬	YU_3
匮	KUI_4
匰	DAN_1
匲	LIAN_2
匳	LIAN_2
匵	DU_2
匶	JIU_4
匷	QU_2
匸	XI_4
匹	PI_3
区	OU_1;QU_1
医	YI_1
匼	KE_1
匽	YAN_4;YAN_3
匾	BIAN_3
匿	NI_4
十	SHI_2
卂	XUN_4
千	QIAN_1
卄	NIAN_4
卅	SA_4
卆	ZU_2
升	SHENG_1
午	WU_3
卉	HUI_4
半	BAN_4;BAN_0
卋	SHI_4
卌	XI_4
卍	WAN_4
华	HUA_1;HUA_4;HUA_2
协	XIE_2
卐	WAN_4
卑	BEI_1
卒	CU_4;ZU_2
卓	ZHUO_2
单	CHAN_2;DAN_1;SHAN_4
卖	MAI_4;MAI_0
南	NA_1;NAN_2
単	DAN_1
卙	JI_2
博	BO_2
卛	SHUAI_4
卜	BO_0;BU_3
卝	KUANG_4
卞	BIAN_4
卟	BU_3
占	ZHAN_1;ZHAN_4
卡	KA_3;QIA_3
卢	LU_2
卣	YOU_3
卤	LU_3
卥	XI_1
卦	GUA_4
卧	WO_4;WO_0
卨	XIE_4
卩	DAN_1;JIE_2
卪	JIE_2
卫	WEI_4
卬	ANG_2;YANG_3
卭	QIONG_2
卮	ZHI_1
卯	MAO_3
印	YIN_4
危	WEI_1
卲	SHAO_4
即	JI_2
却	QUE_4
卵	LUAN_3
卶	CHI_3
卷	JUAN_4;JUAN_3
卸	XIE_4
卺	JIN_3
卼	KUI_4
卽	JI_2
卾	E_4
卿	QING_1
厀	XI_1
厁	SAN_1
厂	AN_1;CHANG_3
厃	YAN_2
厄	E_4
厅	TING_1
历	LI_4
厇	ZHE_2
厈	HAN_3
厉	LI_4
厊	YA_3
压	YA_1;YA_4
厌	YA_1;YAN_4
厍	SHE_4
厎	DI_3
厏	ZHAI_3
厐	PANG_2
厑	TING_1
厒	QIE_4
厓	YA_2
厔	ZHI_4
厕	CE_4;SI_0
厖	MANG_2
厗	TI_2
厘	LI_2
厚	HOU_4
厛	TING_1
厜	ZUI_1
厝	CUO_4
厞	FEI_4
原	YUAN_2
厠	CE_4
厡	YUAN_2
厢	XIANG_1
厣	YAN_3
厥	JUE_2
厦	SHA_4;XIA_4
厧	DIAN_1
厨	CHU_2
厩	JIU_4
厪	QIN_2
厫	AO_2
厬	GUI_3
厮	SI_1
厯	LI_4
厰	CHANG_3
厱	QIAN_1
厳	YAN_2
厵	YUAN_2
厶	SI_1
厷	HONG_2
厸	MIAN_3
厹	ROU_2
厺	QU_4
去	QU_4;QU_0
厽	LEI_3
厾	DU_3
县	XIAN_4
叀	ZHUAN_1
叁	SAN_1
参	CAN_1;CEN_1;SHEN_1
叄	SHEN_1
叅	SHEN_1
叆	AI_4
叇	DAI_4
又	YOU_4
叉	CHA_1;CHA_4;CHA_2;CHA_3
及	JI_2
友	YOU_3;YOU_0
双	SHUANG_1
反	FAN_3
収	SHOU_1
叏	JUE_2
叐	BA_2
发	FA_1;FA_4;FA_0
叒	RUO_4
叓	SHI_4
叔	SHU_1
叕	ZHUO_2
取	QU_3
受	SHOU_4
变	BIAN_4
叙	XU_4
叚	XIA_2
叛	PAN_4
叜	SOU_3
叝	JI_2
叞	YU_4
叟	SOU_3
叠	DIE_2
叡	RUI_4
口	KOU_3;KOU_0
古	GU_3
句	GOU_1;JU_4
另	LING_4
叧	GUA_3
叨	DAO_1;DAO_2;DAO_0;TAO_1
叩	KOU_4
只	ZHI_1;ZHI_3
叫	JIAO_4
召	SHAO_4;ZHAO_4
叭	BA_1;BA_0
叮	DING_1
可	KE_4;KE_3
台	TAI_1;TAI_2;TAI_0
叱	CHI_4
史	SHI_3
右	YOU_4
叴	QIU_2
叵	PO_3
叶	XIE_2;YE_4
号	HAO_4;HAO_2;HAO_0
司	SI_1;SI_0
叹	TAN_4
叺	CHI_3
叻	LE_4
叼	DIAO_1
叽	JI_1;JI_0
叿	HONG_2
吀	MIE_1
吁	XU_1;YU_1;YU_4
吂	MANG_4
吃	CHI_1
各	GE_4;GE_3
吅	XUAN_1
吆	YAO_1
吇	ZI_3
合	GE_3;HE_2;HE_0
吉	JI_2;JI_0
吊	DIAO_4
同	TONG_4;TONG_2;TONG_0
名	MING_2
后	HOU_4
吏	LI_4
吐	TU_4;TU_3
向	XIANG_4
吒	ZHA_1;ZHA_4
吓	HE_4;XIA_4
吔	YE_1
吕	LV_3
吖	A_1
吗	MA_2;MA_3;MA_0
吘	OU_3
吙	HUO_1
吚	YI_1
君	JUN_1
吜	CHOU_3
吝	LIN_4
吞	TUN_1
吟	YIN_2
吠	FEI_4
吡	BI_3;PI_3
吢	QIN_4
吣	QIN_4
吤	JIE_4
吥	BU_4
否	FOU_3;PI_3
吧	BA_1;BA_0
吨	DUN_1
吩	FEN_1
吪	HUA_1
含	HAN_2;HAN_0
听	TING_1;TING_0
